stop_id,station,typeNP,typePP,N_CA_Park_f,N_CA_Park_p,N_CA_Park_Tot,N_CA_Park_occ,N_AT_Park_occ,N_AT_Park_f,N_AT_Park_p,N_AT_Park_Tot,N_BTM_freq,N_BTM_rout,N_TR_freq_tue,N_TR_freq_sat,N_TR_freq_off,N_TR_amp,N_TR_ttcentr,N_TR_trcentr,P_DE_res,P_DE_job,P_DE_bas,P_DE_reg,P_DE_met,P_DI_shan,P_DI_IJI,P_DG_IC,P_DG_perm,P_DG_netw,PP_MOT_sec,PP_MOT_tert,PP_MOT_work,PP_MOT_other,PP_RID_orig,PP_RID_rid,PP_RID_dest,PP_EFF_walk,PP_EFF_bike,PP_EFF_far
8895000,Aalst,2,1,0,631,631,504.8,899,1498,0,1498,1078,34,138,87,7,0.61252363,8.433947902,5.70212766,17091,11122.05075,259.5920852,209.6825771,167.8731505,8.308423913,86.4676,647,459,6497,0.113463534,0.071842541,0.102180638,0.065026716,0.647486572,1.153663761,0.352513428,0.103812224,0.413043478,0.483144297
8895125,Aalst Kerrebroek,4,4,7,0,7,22,1,14,0,14,0,0,14,0,0,0.288160204,7.822207924,0,8973,2025.173395,181.8841237,168.5189999,136.6495675,5.647321429,72.9081,310,240,3641,,,,,0.607238506,0,0.392761494,,,
8895745,Appelterre,1,5,58,0,58,67,16,42,0,42,0,0,51,31,2,0.593113908,6.313118746,4.744680851,2023,105.3905964,68.90348309,50.16326807,26.61732272,3.707298137,51.4885,128,105,1482,0,0,0.002452188,0.033263307,0.964284505,0.032214282,0.035715495,0.547770701,0.27388535,0.178343949
8822160,Baasrode-Zuid,1,2,12,0,12,22,59,114,0,114,0,0,42,0,2,0.615788966,6.75370305,3.563829789,1066,264.8834146,66.80306071,99.68526313,95.7452928,2.502911491,71.1285,123,110,1077,0,0,0.03870502,0.048795917,0.912499062,0.024528641,0.087500938,0.29787234,0.609929078,0.092198582
8895463,Bambrugge,4,5,15,0,15,1,1,14,0,14,0,0,14,0,0,0.271991223,6.853064023,0,2139,143.2639608,138.7593155,79.22965701,20.38001539,3.300659938,61.6739,232,178,2293,0,0,0,0.011113595,0.988886405,0.002452864,0.011113595,0.609375,0.34375,0.046875
8895455,Burst,1,2,165,0,165,421,95,92,0,92,5,2,61,34,2,0.622345679,7.464690998,5.127659578,3014,199.4460229,145.7541637,77.87844309,26.75843056,3.755822981,61.3196,292,229,2824,0,0,0.008492762,0.021982668,0.969524569,0.151587003,0.030475431,0.283917341,0.364779874,0.351302785
8895802,Denderleeuw,1,1,0,1115,1115,969,526,883,0,883,92,3,282,155,14,0.608183353,9.113274021,6.861702131,6944,1334.897093,183.4702271,128.8455537,120.3094012,6.135481366,62.5772,377,295,3950,0.015398163,0.005144039,0.025311476,0.027729849,0.892078047,1.590600625,0.107921953,0.200395844,0.449777338,0.349826818
8893401,Dendermonde,2,1,817,0,817,928,976,951,0,951,354,16,150,82,8,0.641111593,6.687522906,6.010638296,9180,4898.222641,216.4223297,195.5105524,144.152311,7.526203416,82.054,528,475,5547,0.060801679,0.01689349,0.053761132,0.039102437,0.776193759,0.919987572,0.223806241,0.136765356,0.357490057,0.505744587
8895877,Ede,1,2,170,0,170,174,93,157,0,157,32,3,48,0,2,0.613611111,7.947062773,5.074468084,2895,91.03537633,152.5711841,112.2639559,125.0377523,3.35015528,50.8504,199,166,2625,0,0,0.002118565,0.010163075,0.98771836,0.079309273,0.01228164,0.189461883,0.628923767,0.18161435
8895752,Eichem,1,5,8,0,8,6,22,42,0,42,0,0,51,31,2,0.586713445,6.83021366,4.744680851,674,130.6141644,31.08519875,46.47375292,22.86438711,1.140333851,47.9938,56,45,754,0,0,0.012871467,0.038163241,0.948965292,0.012591369,0.051034708,0.417322835,0.511811024,0.070866142
