stop_id;station;typeNP;typePP;N_CA_Park_f;N_CA_Park_p;N_CA_Park_Tot;N_CA_Park_occ;N_AT_Park_occ;N_AT_Park_f;N_AT_Park_p;N_AT_Park_Tot;N_BTM_freq;N_BTM_rout;N_TR_freq_tue;N_TR_freq_sat;N_TR_freq_off;N_TR_amp;N_TR_ttcentr;N_TR_trcentr;P_DE_res;P_DE_job;P_DE_bas;P_DE_reg;P_DE_met;P_DI_shan;P_DI_IJI;P_DG_IC;P_DG_perm;P_DG_netw;PP_MOT_sec;PP_MOT_tert;PP_MOT_work;PP_MOT_other;PP_RID_orig;PP_RID_rid;PP_RID_dest;PP_EFF_walk;PP_EFF_bike;PP_EFF_far
8895000;Aalst;2;1;0;631;631;504,8;899;1498;0;1498;1078;34;138;87;7;0,61252363;8,433947902;5,70212766;17091;11122,05075;259,5920852;209,6825771;167,8731505;8,308423913;86,4676;647;459;6497;0,113463534;0,071842541;0,102180638;0,065026716;0,647486572;1,153663761;0,352513428;0,103812224;0,413043478;0,483144297
8895125;Aalst Kerrebroek;4;4;7;0;7;22;1;14;0;14;0;0;14;0;0;0,288160204;7,822207924;0;8973;2025,173395;181,8841237;168,5189999;136,6495675;5,647321429;72,9081;310;240;3641;;;;;0,607238506;0;0,392761494;;;
8891140;Aalter;1;1;351;0;351;521;972;600;0;600;41;2;118;99;6;0,685216049;7,720603451;6,276595743;4625;1350,708687;144,5383672;108,6843041;53,59188893;6,36548913;70,6168;349;264;2991;0,067037532;0,005302774;0,035628093;0,048801101;0,843230501;0,334243618;0,156769499;0,155;0,299166667;0,545833333
8833209;Aarschot;2;1;1269;0;1269;1840;763;790;125;915;387;21;195;103;10;0,648919753;8,276306952;5,393617025;5413;5899,174686;178,3020706;194,5137432;145,4149804;7,444681677;84,6995;535;446;4357;0,024312705;0,008984506;0,024428797;0,040309108;0,865155259;0,929308456;0,134844741;0,082607548;0,238057535;0,679334917
8892288;Aarsele;4;1;6;0;6;11;22;28;0;28;12;1;6;0;0;0,26265625;7,4705727;4,234042554;738;472,5179121;50,09572597;34,18077894;0,955905625;1,015139752;61,5836;132;84;888;0;0;0,023436595;0,018642638;0,957920766;0,002616388;0,042079234;0,044444444;0,866666667;0,088888889
8831039;Alken;1;1;217;0;217;173,6;124,8;156;0;156;93;7;43;34;2;0,613611111;4,846757579;4,96808511;1224;1976,396305;79,21391869;68,70201221;18,31312111;5,951086957;83,5167;172;118;936;0;0;0,018087724;0,082653374;0,899258903;0,086994914;0,100741097;0,052631579;0,495126706;0,452241715
8821121;Antwerpen-Berchem;5;4;90;757;847;677,6;1269;3247;252;3499;2295;20;677;481;38;0,706066744;7,69856503;6,840425534;30767;11145,02454;280,3058678;272,2409241;230,5804775;7,071040373;83,2179;692;514;8764;;;;;0,508484066;2,510424673;0,491515934;;;
8821006;Antwerpen-Centraal;5;4;0;1021;1021;816,8;836;2026;0;2026;3772;28;430;277;25;0,717785494;7,506940996;6,946808514;48575;30195,20585;287,9946652;274,776265;218,1547748;8,279309006;92,2544;959;697;9220;;;;;0,432200689;5,718770952;0,567799311;;;
8821063;Antwerpen-Luchtbal;2;6;80;0;80;64;81,6;102;0;102;767;12;153;37;6;0,621250482;7,157695312;5,627659576;13303;6248,10345;195,8362634;195,7206491;159,196136;5,659937888;83,846;407;358;5303;;;;;0,429437631;0,036629438;0,570562369;;;
8821089;Antwerpen-Noorderdokken;1;6;16;0;16;16;16;30;0;30;0;0;107;37;6;0,608183353;6,81753373;5,617021278;4866;1370,417212;99,78956106;110,075295;97,17363733;2,216614907;73,5396;239;282;3173;;;;;0,559671868;0,008666787;0,440328132;;;
