Station;Auto (gratis parking);Auto (betalende parking);Auto (totale parking);Auto (bezetting parking) ;Fiets (gratis parking);Fiets (betalende parking);Fiets (totale parking);Fiets (bezetting parking);BTM (frequentie);BTM (route);Trein (frequentie dinsd.);Trein (frequentie zat.) ;Trein (frequentie off-peak);Trein (amplitude);Reistijdcentraliteit;Overstapcentraliteit;Dichtheid (inwoners);Dichtheid (jobs);Dichtheid (basisvoorz.);Dichtheid (regionale voorz.);Dichtheid (metropolitane voorz.);Diversiteit (funct.);Diversiteit (ruimt.);Design (interface);Design (permeabiliteit);Design (fietswandel infrastr.)
Aalst;0;631;631;505;1498;0;1498;899;1078;34;138;87;7;0,6;8,4;5,7;17091;11122;260;210;168;8,3;86,5;647;459;6497
Aalst Kerrebroek;7;0;7;22;14;0;14;1;0;0;14;0;0;0,3;7,8;0,0;8973;2025;182;169;137;5,6;72,9;310;240;3641
Aalter;351;0;351;521;600;0;600;972;41;2;118;99;6;0,7;7,7;6,3;4625;1351;145;109;54;6,4;70,6;349;264;2991
Aarschot;1269;0;1269;1840;790;125;915;763;387;21;195;103;10;0,6;8,3;5,4;5413;5899;178;195;145;7,4;84,7;535;446;4357
Aarsele;6;0;6;11;28;0;28;22;12;1;6;0;0;0,3;7,5;4,2;738;473;50;34;1;1,0;61,6;132;84;888
Alken;217;0;217;174;156;0;156;124,8;93;7;43;34;2;0,6;4,8;5,0;1224;1976;79;69;18;6,0;83,5;172;118;936
Antwerpen-Berchem;90;757;847;678;3247;252;3499;1269;2295;20;677;481;38;0,7;7,7;6,8;30767;11145;280;272;231;7,1;83,2;692;514;8764
Antwerpen-Centraal;0;1021;1021;817;2026;0;2026;836;3772;28;430;277;25;0,7;7,5;6,9;48575;30195;288;275;218;8,3;92,3;959;697;9220
Antwerpen-Luchtbal;80;0;80;64;102;0;102;81,6;767;12;153;37;6;0,6;7,2;5,6;13303;6248;196;196;159;5,7;83,8;407;358;5303
Antwerpen-Noorderdokken;16;0;16;16;30;0;30;16;0;0;107;37;6;0,6;6,8;5,6;4866;1370;100;110;97;2,2;73,5;239;282;3173
Antwerpen-Zuid;328;0;328;262;212;0;212;157;1739;13;169;100;10;0,6;7,5;3,9;22173;8863;227;221;193;6,1;86,8;513;455;6756
Anzegem;83;0;83;36;96;0;96;35;43;2;43;0;2;0,5;6,0;4,9;1330;750;81;58;7;3,0;60,9;168;128;1216
Appelterre;58;0;58;67;42;0;42;16;0;0;51;31;2;0,6;6,3;4,7;2023;105;69;50;27;3,7;51,5;128;105;1482
Arcaden;NA;0;NA;NA;0;0;0;NA;1036;2;28;0;2;0,3;9,2;5,4;23938;9643;233;223;186;8,6;NA;760;589;3392
Asse;127;8;135;110;197;0;197;144;330;10;69;32;4;0,6;8,3;5,3;6236;3427;169;152;66;6,0;72,3;509;416;4353
Baasrode-Zuid;12;0;12;22;114;0;114;59;0;0;42;0;2;0,6;6,8;3,6;1066;265;67;100;96;2,5;71,1;123;110;1077
Balegem-Dorp;60;0;60;39;215;0;215;72;0;0;44;32;2;0,6;5,8;1,9;2028;146;104;64;7;3,6;61,7;160;124;1715
Balegem-Zuid;36;0;36;39;64;0;64;27;0;0;44;0;2;0,6;5,5;1,9;745;76;38;53;23;1,3;67,0;66;67;641
Balen;83;0;83;66;140;0;140;112;58;2;34;30;2;0,5;3,4;0,1;4157;877;186;153;101;5,5;60,4;355;251;3788
Bambrugge;15;0;15;1;14;0;14;1;0;0;14;0;0;0,3;6,9;0,0;2139;143;139;79;20;3,3;61,7;232;178;2293
Beernem;119;0;119;132;448;0;448;259;37;3;51;36;2;0,7;7,1;6,3;2827;851;120;86;56;7,0;75,0;283;267;2551
Beersel;67;0;67;54;14;0;14;11,2;0;0;93;28;6;0,5;8,6;3,6;2444;189;104;91;98;3,2;64,3;182;174;2207
Beervelde;72;0;72;51;82;0;82;89;30;1;37;30;2;0,5;8,2;5,0;607;172;72;44;12;0,8;76,8;136;131;1416
Begijnendijk;91;0;91;91;140;0;140;78;0;0;45;34;2;0,6;7,8;2,8;2508;207;104;78;57;5,0;56,1;251;193;1634
Bellem;29;0;29;14;154;0;154;81;0;0;42;36;2;0,6;8,0;6,3;1097;120;77;54;32;3,9;75,7;118;127;1355
Belsele;18;0;18;17;122;0;122;30;0;0;70;32;4;0,6;7,4;5,6;3173;469;152;121;117;4,5;70,8;310;226;2861
Beringen;43;0;43;34;126;0;126;100,8;541;6;34;30;2;0,4;2,0;0,1;4283;1214;157;149;47;4,7;68,4;430;335;3046
Berlaar;140;0;140;118;260;0;260;232;0;0;45;34;2;0,6;7,3;2,8;4472;721;161;103;42;5,5;66,3;355;301;3011
Beveren;186;0;186;163;274;0;274;319;0;0;76;66;4;0,6;7,0;3,6;6349;3568;169;121;62;6,6;84,4;460;306;3887
Beverlo;76;0;76;61;114;0;114;91,2;28;1;34;30;2;0,5;2,0;0,1;2305;420;101;116;69;4,9;67,5;242;196;2307
Bilzen;226;0;226;181;162;0;162;129,6;188;5;73;34;4;0,5;4,4;5,8;4311;2268;153;141;30;6,8;82,4;440;360;3066
Bissegem;50;0;50;32;52;0;52;46;15;1;45;35;2;0,6;6,2;4,9;6582;1065;167;180;156;6,1;72,1;538;419;4164
